 

stn;time;rre150z0;rco150z0
OBR;202101010000;0.0;0
OBR;202101010010;0.0;0
OBR;202101010020;0.0;0
OBR;202101010030;0.0;0
OBR;202101010040;0.0;0
OBR;202101010050;0.0;0
OBR;202101010100;0.0;0
OBR;202101010110;0.0;0
OBR;202101010120;0.0;0
OBR;202101010130;0.0;0
OBR;202101010140;0.0;0
OBR;202101010150;0.0;0
OBR;202101010200;0.0;0
OBR;202101010210;0.0;0
OBR;202101010220;0.0;0
OBR;202101010230;0.0;0
OBR;202101010240;0.0;0
OBR;202101010250;0.0;0
OBR;202101010300;0.0;0
OBR;202101010310;0.0;0
OBR;202101010320;0.0;0
OBR;202101010330;0.0;0
OBR;202101010340;0.0;0
OBR;202101010350;0.0;0
OBR;202101010400;0.0;0
OBR;202101010410;0.0;0
OBR;202101010420;0.0;0
OBR;202101010430;0.0;0
OBR;202101010440;0.0;0
OBR;202101010450;0.0;0
OBR;202101010500;0.0;0
OBR;202101010510;0.0;0
OBR;202101010520;0.0;0
OBR;202101010530;0.0;0
OBR;202101010540;0.0;0
OBR;202101010550;0.0;0
OBR;202101010600;0.0;0
OBR;202101010610;0.0;0
OBR;202101010620;0.0;0
OBR;202101010630;0.0;0
OBR;202101010640;0.0;0
OBR;202101010650;0.0;0
OBR;202101010700;0.0;0
OBR;202101010710;0.0;0
OBR;202101010720;0.0;0
OBR;202101010730;0.0;0
OBR;202101010740;0.0;0
OBR;202101010750;0.0;0
OBR;202101010800;0.0;0
OBR;202101010810;0.0;0
OBR;202101010820;0.0;0
OBR;202101010830;0.0;0
OBR;202101010840;0.0;0
OBR;202101010850;0.0;0
OBR;202101010900;0.0;0
OBR;202101010910;0.0;0
OBR;202101010920;0.0;0
OBR;202101010930;0.0;0
OBR;202101010940;0.0;0
OBR;202101010950;0.0;0
OBR;202101011000;0.0;0
OBR;202101011010;0.0;0
OBR;202101011020;0.0;0
OBR;202101011030;0.0;0
OBR;202101011040;0.0;0
OBR;202101011050;0.0;0
OBR;202101011100;0.0;0
OBR;202101011110;0.0;0
OBR;202101011120;0.0;0
OBR;202101011130;0.0;0
OBR;202101011140;0.0;0
OBR;202101011150;0.0;0
OBR;202101011200;0.0;0
OBR;202101011210;0.0;0
OBR;202101011220;0.0;0
OBR;202101011230;0.0;0
OBR;202101011240;0.0;0
OBR;202101011250;0.0;0
OBR;202101011300;0.0;0
OBR;202101011310;0.0;0
OBR;202101011320;0.0;0
OBR;202101011330;0.0;0
OBR;202101011340;0.0;0
OBR;202101011350;0.0;0
OBR;202101011400;0.0;0
OBR;202101011410;0.0;0
OBR;202101011420;0.0;0
OBR;202101011430;0.0;0
OBR;202101011440;0.0;0
OBR;202101011450;0.0;0
OBR;202101011500;0.0;0
OBR;202101011510;0.0;0
OBR;202101011520;0.0;0
OBR;202101011530;0.0;0
OBR;202101011540;0.0;0
OBR;202101011550;0.0;0
OBR;202101011600;0.0;0
OBR;202101011610;0.0;0
OBR;202101011620;0.0;0
OBR;202101011630;0.0;0
OBR;202101011640;0.0;0
OBR;202101011650;0.0;0
OBR;202101011700;0.0;0
OBR;202101011710;0.0;0
OBR;202101011720;0.0;0
OBR;202101011730;0.0;0
OBR;202101011740;0.0;0
OBR;202101011750;0.0;0
OBR;202101011800;0.0;0
OBR;202101011810;0.0;0
OBR;202101011820;0.0;0
OBR;202101011830;0.0;0
OBR;202101011840;0.0;0
OBR;202101011850;0.0;0
OBR;202101011900;0.0;0
OBR;202101011910;0.0;0
OBR;202101011920;0.0;0
OBR;202101011930;0.0;0
OBR;202101011940;0.0;0
OBR;202101011950;0.0;0
OBR;202101012000;0.0;0
OBR;202101012010;0.0;0
OBR;202101012020;0.0;0
OBR;202101012030;0.0;0
OBR;202101012040;0.0;0
OBR;202101012050;0.0;0
OBR;202101012100;0.0;0
OBR;202101012110;0.0;0
OBR;202101012120;0.0;0
OBR;202101012130;0.0;0
OBR;202101012140;0.0;0
OBR;202101012150;0.0;0
OBR;202101012200;0.0;0
OBR;202101012210;0.0;0
OBR;202101012220;0.0;0
OBR;202101012230;0.0;0
OBR;202101012240;0.0;0
OBR;202101012250;0.0;0
OBR;202101012300;0.0;0
OBR;202101012310;0.0;0
OBR;202101012320;0.0;0
OBR;202101012330;0.0;0
OBR;202101012340;0.0;0
OBR;202101012350;0.0;0
OBR;202101020000;0.0;0
OBR;202101020010;0.0;0
OBR;202101020020;0.0;0
OBR;202101020030;0.0;0
OBR;202101020040;0.0;0
OBR;202101020050;0.0;0
OBR;202101020100;0.0;0
OBR;202101020110;0.0;0
OBR;202101020120;0.0;0
OBR;202101020130;0.0;0
OBR;202101020140;0.0;0
OBR;202101020150;0.0;0
OBR;202101020200;0.0;0
OBR;202101020210;0.0;0
OBR;202101020220;0.0;0
OBR;202101020230;0.0;0
OBR;202101020240;0.0;0
OBR;202101020250;0.0;0
OBR;202101020300;0.0;0
OBR;202101020310;0.0;0
OBR;202101020320;0.0;0
OBR;202101020330;0.0;0
OBR;202101020340;0.0;0
OBR;202101020350;0.0;0
OBR;202101020400;0.0;0
OBR;202101020410;0.0;0
OBR;202101020420;0.0;0
OBR;202101020430;0.0;0
OBR;202101020440;0.0;0
OBR;202101020450;0.0;0
OBR;202101020500;0.0;0
OBR;202101020510;0.0;0
OBR;202101020520;0.0;0
OBR;202101020530;0.0;0
OBR;202101020540;0.0;0
OBR;202101020550;0.0;0
OBR;202101020600;0.0;0
OBR;202101020610;0.0;0
OBR;202101020620;0.0;0
OBR;202101020630;0.0;0
OBR;202101020640;0.0;0
OBR;202101020650;0.0;0
OBR;202101020700;0.0;0
OBR;202101020710;0.0;0
OBR;202101020720;0.0;0
OBR;202101020730;0.0;0
OBR;202101020740;0.0;0
OBR;202101020750;0.0;0
OBR;202101020800;0.0;0
OBR;202101020810;0.0;0
OBR;202101020820;0.0;0
OBR;202101020830;0.0;0
OBR;202101020840;0.0;0
OBR;202101020850;0.0;0
OBR;202101020900;0.0;0
OBR;202101020910;0.0;0
OBR;202101020920;0.0;0
OBR;202101020930;0.0;0
OBR;202101020940;0.0;0
OBR;202101020950;0.0;0
OBR;202101021000;0.0;0
OBR;202101021010;0.0;0
OBR;202101021020;0.0;0
OBR;202101021030;0.0;0
OBR;202101021040;0.0;0
OBR;202101021050;0.0;0
OBR;202101021100;0.0;0
OBR;202101021110;0.0;0
OBR;202101021120;0.0;0
OBR;202101021130;0.0;0
OBR;202101021140;0.0;0
OBR;202101021150;0.0;0
OBR;202101021200;0.0;0
OBR;202101021210;0.0;0
OBR;202101021220;0.0;0
OBR;202101021230;0.0;0
OBR;202101021240;0.0;0
OBR;202101021250;0.0;0
OBR;202101021300;0.0;0
OBR;202101021310;0.0;0
OBR;202101021320;0.0;0
OBR;202101021330;0.0;0
OBR;202101021340;0.0;0
OBR;202101021350;0.0;0
OBR;202101021400;0.0;0
OBR;202101021410;0.0;0
OBR;202101021420;0.0;0
OBR;202101021430;0.0;0
OBR;202101021440;0.0;0
OBR;202101021450;0.0;0
OBR;202101021500;0.0;0
OBR;202101021510;0.0;0
OBR;202101021520;0.0;0
OBR;202101021530;0.0;0
OBR;202101021540;0.0;0
OBR;202101021550;0.0;0
OBR;202101021600;0.0;0
OBR;202101021610;0.0;0
OBR;202101021620;0.0;0
OBR;202101021630;0.0;0
OBR;202101021640;0.0;0
OBR;202101021650;0.0;0
OBR;202101021700;0.0;0
OBR;202101021710;0.0;0
OBR;202101021720;0.0;0
OBR;202101021730;0.0;0
OBR;202101021740;0.0;0
OBR;202101021750;0.0;0
OBR;202101021800;0.0;0
OBR;202101021810;0.0;0
OBR;202101021820;0.0;0
OBR;202101021830;0.0;0
OBR;202101021840;0.0;0
OBR;202101021850;0.0;0
OBR;202101021900;0.0;0
OBR;202101021910;0.0;0
OBR;202101021920;0.0;0
OBR;202101021930;0.0;0
OBR;202101021940;0.0;0
