area,storage_capacity,residence_time,runoff_fraction,melting_rate,NSE,KGE,RMSE,Bias,PBias,MeanAbsErr,MaxAbsDiff,MaxPeakDiff
101673.022,1.0,11.9657,0.0,5.8371,0.13539900980541741,0.49657096667644884,201.12293364650782,-69.29265436567015,18.434940855506746,155.23595321877946,719.9775133064019,3.472102459694497
101673.022,1.0,11.9657,0.01,5.8371,0.12527706922527737,0.48645703030086684,202.29678774359837,-73.31785846103193,19.50582492119352,156.03699903247852,709.1427093149427,-10.381664823276424
101673.022,1.0,11.9657,0.02,5.8371,0.114003971579684,0.47599974690496405,203.59617680633494,-77.31955084491766,20.570453821532134,156.92220503484765,698.3248860340714,-24.221171028080335
101673.022,1.0,11.9657,0.03,5.8371,0.10162150354246535,0.4652710393166434,205.0139460662357,-81.29921600495578,21.629222496532847,157.89681886399327,687.5238703468518,-38.04656154522604
101673.022,1.0,11.9657,0.04,5.8371,0.08817444813889364,0.45432693012762937,206.54258584617847,-85.23836160156462,22.6772111579499,158.92686372130674,676.914807374848,-51.71074251451728
101673.022,1.0,11.9657,0.05,5.8371,0.07368181958764286,0.44318793859461647,208.17751724758776,-89.135186191599,23.713940541449446,160.00472708470173,666.4511019898672,-65.25284638344192
101673.022,1.0,11.9657,0.06,5.8371,0.057846994276633534,0.4315896536794983,209.94930912443365,-93.06564138864695,24.759617168446944,161.309421473066,656.0081055965251,-78.77755801503872
101673.022,1.0,11.9657,0.07,5.8371,0.04097116121845168,0.4197325840733943,211.82126842359696,-96.99405703807327,25.80475118468549,162.76018623854208,645.5753185940006,-92.29369539294146
101673.022,1.0,11.9657,0.08,5.8371,0.02311153000150301,0.40765267106804215,213.78450410620798,-100.91621550109113,26.84822050987679,164.2706312444803,635.1526005506818,-105.8013764572197
101673.022,1.0,11.9657,0.09,5.8371,0.004344805241448979,0.3953944736326097,215.82821198260748,-104.82443643522637,27.88798182989819,165.81721189644614,624.7578667937757,-119.28555520138468
101673.022,1.0,11.9657,0.1,5.8371,-0.01519167718494474,0.3830435603386463,217.9353875816283,-108.69739042496512,28.918360567594597,167.43652492301865,614.4103921665676,-132.73004384310946
101673.022,1.0,11.9657,0.11,5.8371,-0.03557419350617441,0.37054097036931044,220.11231452221386,-112.55273006397374,29.944053101293047,169.14497948814991,604.0871491846785,-146.15418178241634
101673.022,1.0,11.9657,0.12,5.8371,-0.056433330007722216,0.35801164480968073,222.31807746097167,-116.37327318194491,30.960488206290353,171.00620981226925,593.7737107121415,-159.57008550363582
101673.022,1.0,11.9657,0.13,5.8371,-0.077878608334909,0.3454060864006514,224.56323569353185,-120.1575556100113,31.96727634827413,172.95814041606954,583.4700097778924,-172.9778112517389
101673.022,1.0,11.9657,0.14,5.8371,-0.09947192400811344,0.33292013778787344,226.80143743987054,-123.86672532807701,32.954081154664316,174.9409625304534,573.2098673932004,-186.34895479223258
101673.022,1.0,11.9657,0.15,5.8371,-0.12146199558374438,0.320564891431789,229.05828839995138,-127.5077561390255,33.92275796849651,176.9110193430974,562.9756042162713,-199.6983639416411
101673.022,2.0,11.9657,0.0,5.8371,0.05908866193428208,0.49370336167426254,209.8109169460008,-108.68888231742939,28.916097030995388,157.3662416087014,718.4122794699522,2.1575566415915546
101673.022,2.0,11.9657,0.01,5.8371,0.04529339012661271,0.48300503557078034,211.34340276341914,-112.73213604318995,29.99178310451275,158.4715214503122,707.5443778575792,-11.72400734379471
101673.022,2.0,11.9657,0.02,5.8371,0.030321875516284402,0.4719952988404781,212.99407864527475,-116.75819783818744,31.062895356609776,159.70093497789463,696.7250642697569,-25.56476516782891
101673.022,2.0,11.9657,0.03,5.8371,0.014199481377131007,0.46069583743852816,214.75745664744517,-120.76380601993075,32.12856603406842,161.00418761433144,686.0220915869144,-39.307815258645405
101673.022,2.0,11.9657,0.04,5.8371,-0.0030200329689455963,0.44914986806198076,216.62497940020754,-124.74690248195698,33.18824758864904,162.38074099162534,675.3423856906646,-53.03132497389379
101673.022,2.0,11.9657,0.05,5.8371,-0.021261970674017805,0.43741728197730034,218.5859839574354,-128.69729041860896,34.2392272146304,163.8017590683062,664.7089113851306,-66.71600755493137
101673.022,2.0,11.9657,0.06,5.8371,-0.040547078460121844,0.42545581541296906,220.64017737125707,-132.6368663442178,35.28733036278109,165.44949241086553,654.1058131516654,-80.37517909884514
101673.022,2.0,11.9657,0.07,5.8371,-0.06089131820792515,0.41327065816630804,222.78665790726706,-136.56991730766083,36.33369757957352,167.20937419000208,643.5245008729859,-94.01605392881754
101673.022,2.0,11.9657,0.08,5.8371,-0.08226501720634727,0.4008868853154941,225.01969992739632,-140.4949654444297,37.37793568704311,169.00371942634035,632.9643975789777,-107.6391166073679
101673.022,2.0,11.9657,0.09,5.8371,-0.1045988145314809,0.3883434072616927,227.32961543799365,-144.4077935372576,38.41892271704472,170.89368824738008,622.4320734014943,-121.23884927566166
101673.022,2.0,11.9657,0.1,5.8371,-0.12768498039114262,0.37572664312484494,229.69293063554895,-148.28488035380553,39.45040097125542,172.8579412842987,611.9348634738695,-134.80909159610314
101673.022,2.0,11.9657,0.11,5.8371,-0.15161251389356867,0.36299795290343684,232.11698380970532,-152.13959762469077,40.475927927236405,175.00649839776085,601.4633445465462,-148.3577575895937
101673.022,2.0,11.9657,0.12,5.8371,-0.17625711105599384,0.3502344855896933,234.5874972140879,-155.963947094179,41.49337569173904,177.24778865837635,591.0112965685812,-161.89007110305442
