 

stn;time;rre150z0
CHU;202007021650;0.0
CHU;202007021700;0.0
CHU;202007021710;0.0
CHU;202007021720;0.2
CHU;202007021730;0.3
CHU;202007021740;0.1
CHU;202007021750;0.2
CHU;202007021800;0.1
CHU;202007021810;0.1
CHU;202007021820;0.0
CHU;202007021830;0.1
CHU;202007021840;0.0
CHU;202007021850;0.0
CHU;202007021900;0.1
CHU;202007021910;0.0
CHU;202007021920;0.0
CHU;202007021930;0.0
CHU;202007021940;0.0
CHU;202007021950;0.0
CHU;202007022000;0.0
CHU;202007022010;0.0
CHU;202007022020;0.0
CHU;202007022030;0.1
CHU;202007022040;0.1
CHU;202007022050;0.0
CHU;202007022100;0.1
CHU;202007022110;0.0
CHU;202007022120;0.0
CHU;202007022130;0.0
CHU;202007022140;0.0
CHU;202007022150;0.0
CHU;202007022200;0.0
CHU;202007022210;0.0
CHU;202007022220;0.0
CHU;202007022230;0.1
CHU;202007022240;0.0
CHU;202007022250;0.1
CHU;202007022300;0.0
CHU;202007022310;0.1
CHU;202007022320;0.0
CHU;202007022330;0.1
CHU;202007022340;0.0
CHU;202007022350;0.0
CHU;202007030000;0.1
CHU;202007030010;0.0
CHU;202007030020;0.0
CHU;202007030030;0.1
CHU;202007030040;0.0
CHU;202007030050;0.0
CHU;202007030100;0.0
CHU;202007030110;0.0
CHU;202007030120;0.0
CHU;202007030130;0.0
CHU;202007030140;0.0
CHU;202007030150;0.0
CHU;202007030200;0.0
CHU;202007030210;0.1
CHU;202007030220;0.0
CHU;202007030230;0.0
CHU;202007030240;0.0
CHU;202007030250;0.0
CHU;202007030300;0.0
CHU;202007030310;0.0
CHU;202007030320;0.0
CHU;202007030330;0.0
CHU;202007030340;0.0
CHU;202007030350;0.0
CHU;202007030400;0.0
CHU;202007030410;0.0
CHU;202007030420;0.0
CHU;202007030430;0.1
CHU;202007030440;0.0
CHU;202007030450;0.0
CHU;202007030500;0.0
CHU;202007030510;0.0
CHU;202007030520;0.0
CHU;202007030530;0.0
CHU;202007030540;0.0
CHU;202007030550;0.0
CHU;202007030600;0.0
CHU;202007030610;0.1
CHU;202007030620;0.0
CHU;202007030630;0.0
CHU;202007030640;0.0
CHU;202007030650;0.0
CHU;202007030700;0.0
CHU;202007030710;0.0
CHU;202007030720;0.0
CHU;202007030730;0.0
CHU;202007030740;0.0
CHU;202007030750;0.1
CHU;202007030800;0.0
CHU;202007030810;0.0
CHU;202007030820;0.0
CHU;202007030830;0.0
CHU;202007030840;0.0
CHU;202007030850;0.0
CHU;202007030900;0.0
CHU;202007030910;0.0
CHU;202007030920;0.0
CHU;202007030930;0.0
CHU;202007030940;0.0
CHU;202007030950;0.0
CHU;202007031000;0.0
CHU;202007031010;0.0
CHU;202007031020;0.0
CHU;202007031030;0.0
CHU;202007031040;0.0
CHU;202007031050;0.0
CHU;202007031100;0.0
CHU;202007031110;0.0
CHU;202007031120;0.0
CHU;202007031130;0.0
CHU;202007031140;0.0
CHU;202007031150;0.0
