method,metric,time,area,storage_capacity,residence_time,runoff_fraction,melting_rate,NSE,KGE,RMSE,Bias,PBias,MeanAbsErr,MaxAbsDiff,MaxPeakDiff
Evolution,NSE,20231207_2308,126112.08397810129,28.789683701601714,11.894919260951957,0.07306550608055098,5.833576240897161,-7.285102424175658,-0.24334661570801974,73.96195618858903,-57.44760750449473,59.78965671831937,64.57373005244298,73.01517041909769,-4.100428702365775
Evolution,RMSE,20231207_2309,125952.44531875943,25.564961522919113,10.816034308676205,0.08547140995438526,3.5331806498335148,-7.415516111047827,-0.29836497590735345,74.54179149415883,-56.029243958496465,58.31346870630546,65.27815102951475,97.95462772721733,5.981247264872849
Basin,NSE,20231207_2309,125000.0,30.0,12.0,0.1,3.0,-7.493117494273051,-0.20706780055296248,74.88468621564736,-60.532013992615035,62.999809640528376,65.4534040619737,60.11975659116182,-15.280382047570555
Basin,RMSE,20231207_2309,125000.0,30.0,12.0,0.1,3.0,-7.495256030013508,-0.20712865106105638,74.89411346649908,-60.54441889439334,63.01272027077335,65.46193062872122,60.119756591160325,-15.331935799813635
