method,metric,time,area,storage_capacity,residence_time,runoff_fraction,melting_rate,NSE,KGE,RMSE,Bias,PBias,MeanAbsErr,MaxAbsDiff,MaxPeakDiff
Evolution,NSE,20231208_1103,163212.05752366243,22.365420927101347,9.444923755505332,0.08772620937449868,3.3285396533846874,-0.3585342789150969,0.42714929670097257,266.01465824742235,-61.03296698903526,16.04581723825783,187.41601809290674,1435.8958062424156,442.4312229090822
Evolution,NSE,20231208_1103,150713.6938581935,22.89606573090182,10.4845223347563,0.09831240468711858,2.865135888034737,-0.20764034159426137,0.4692146576970181,250.80666530281025,-89.01682358949618,23.402887863929347,184.93258637056846,1142.8606981685143,149.39611483518092
Evolution,NSE,20231208_1103,137557.25286543943,22.11122507237804,9.979859391518849,0.08734924264877246,2.746570708718708,-0.2138729778224311,0.45742896437871616,251.4530394505898,-108.68347554352957,28.573331290013133,189.1992580455432,1081.9174466772538,86.19678232862952
Evolution,NSE,20231208_1103,162755.85899219438,22.439988671423272,10.47706527973097,0.08318760904782843,2.5913155585125507,-0.26868503009649825,0.4575694898403374,257.0675008322723,-55.93012454114135,14.704259038584532,183.22255882220176,1305.7639722691558,312.29938893582244
Evolution,NSE,20231208_1104,161408.68324958038,21.15177215396519,10.113454826798668,0.09236656928381404,3.253714233023933,-0.2677256929025422,0.45776354856169754,256.9702895280153,-65.18967323361582,17.138632351205676,183.79168286988767,1312.453796234248,318.9892129009147
