area,storage_capacity,residence_time,runoff_fraction,RMSE
195530.14696016102,14.546888307077449,27.90610495645573,0.07703079436910334,250.41165328382317
195530.14696016102,14.546888307077449,27.90610495645573,0.07703079436910334,250.3682092322865
197476.60432487287,6.982756158685584,28.428549333789952,0.08875183732829221,248.48431956145683
195102.1794095933,13.85500563112586,26.44735971239673,0.08812797708872566,245.5117546692854
195530.14696016102,8.851667249941684,27.90610495645573,0.09063243055134249,244.92715633861206
195530.14696016102,8.851667249941684,27.90610495645573,0.09063243055134249,245.43121577906285
194988.27110455773,10.630848641803514,26.384905664725522,0.09344736336709744,244.2507765569611
194988.27110455773,10.630848641803514,26.384905664725522,0.09344736336709744,244.56199024500384
194988.27110455773,10.630848641803514,26.384905664725522,0.09344736336709744,244.87166897800594
195370.37779914422,8.36570138891547,29.12610274351082,0.098256970250785,242.57609122281502
195370.37779914422,8.36570138891547,29.12610274351082,0.098256970250785,243.19305829182662
195092.05807271122,10.120463661133623,26.687806494766942,0.09916962356236095,244.04798870608013
195004.91045272772,19.970820610509627,26.336042834091437,0.09974438532565219,242.7048486330748
195004.91045272772,19.970820610509627,26.336042834091437,0.09974438532565219,241.6361046229037
195004.91045272772,19.970820610509627,26.336042834091437,0.09974438532565219,240.71131660261472
194923.4109769551,10.227484177036725,24.573576949719275,0.09915314289764579,242.28744142165482
194923.4109769551,10.227484177036725,24.573576949719275,0.09915314289764579,242.63948822764218
194923.4109769551,10.227484177036725,24.573576949719275,0.09915314289764579,242.9882712047343
