datetime,rre150h0
2022-12-25 00:00:00+00:00,14.9
2023-01-01 00:00:00+00:00,11.3
2023-01-08 00:00:00+00:00,3.7
2023-01-15 00:00:00+00:00,15.3
2023-01-22 00:00:00+00:00,4.5
2023-01-29 00:00:00+00:00,0.0
2023-02-05 00:00:00+00:00,11.9
2023-02-12 00:00:00+00:00,0.2
2023-02-19 00:00:00+00:00,0.1
2023-02-26 00:00:00+00:00,16.8
2023-03-05 00:00:00+00:00,0.30000000000000004
2023-03-12 00:00:00+00:00,24.7
2023-03-19 00:00:00+00:00,8.1
2023-03-26 00:00:00+00:00,5.8
2023-04-02 00:00:00+00:00,8.0
2023-04-09 00:00:00+00:00,1.6
2023-04-16 00:00:00+00:00,18.7
2023-04-23 00:00:00+00:00,6.9
2023-04-30 00:00:00+00:00,9.200000000000001
2023-05-07 00:00:00+00:00,6.8
2023-05-14 00:00:00+00:00,12.5
2023-05-21 00:00:00+00:00,6.0
2023-05-28 00:00:00+00:00,2.0
2023-06-04 00:00:00+00:00,0.0
2023-06-11 00:00:00+00:00,0.0
2023-06-18 00:00:00+00:00,0.30000000000000004
2023-06-25 00:00:00+00:00,3.5
2023-07-02 00:00:00+00:00,3.5
2023-07-09 00:00:00+00:00,1.2
