area,storage_capacity,residence_time,runoff_fraction,melting_rate,NSE,KGE,RMSE,Bias,PBias,MeanAbsErr,MaxAbsDiff,MaxPeakDiff
249999.99465686388,31.925251725946282,25.0,0.1,2.1680453530583623,-4.5770124466113,-0.3712997879781219,60.682051555920474,-25.599986548327923,26.643658007835466,49.25344003166008,84.4655538453361,40.19802814043513
250000.06296887365,31.84440042458196,25.0,0.1,2.1680455996622805,-4.572208457859827,-0.36906621420498165,60.65591043643833,-25.744140741281765,26.793689142039646,49.252457766595924,83.54810824791133,39.202535955729445
250000.096542286,31.83166729937081,25.0,0.1,2.168045773668408,-4.5684683440704426,-0.36643715499702934,60.63555063752554,-25.93970160256772,26.997222714136836,49.25442076134589,82.55062224430998,38.120194371960565
250000.0491818561,31.830718011726127,25.0,0.1,2.168045271455096,-4.565682598427881,-0.3639300708314994,60.620381623203706,-26.137413952455315,27.2029954876649,49.256807832899966,81.57263559140742,37.05901093782151
249999.96228969895,31.757300024460253,25.0,0.1,2.168045294079824,-4.563542109407308,-0.36231608349919964,60.6087235976938,-26.263133876748846,27.33384081687335,49.25616575846757,80.76482718821046,36.18248272254701
249999.8934135529,31.79004826529074,25.0,0.1,2.1680453118924765,-4.562416946687181,-0.35990197981741967,60.602594577439035,-26.47509321778468,27.554441409122234,49.26271338246852,79.80265088285284,35.138454613435044
249999.87605633296,31.775995578381433,25.0,0.1,2.1680453554504266,-4.5618222664184005,-0.3581058031944069,60.59935496677433,-26.638324074504823,27.724326932873094,49.26920780868354,78.96131545995317,34.2255472535179
249999.90350079347,31.827999305411907,25.0,0.1,2.1680453499320853,-4.562117698085241,-0.355867413359912,60.60096439708822,-26.852901241408723,27.94765207566116,49.28118966512342,78.03528152692371,33.22073612826887
250000.00215127596,31.753631819264115,25.0,0.1,2.168045299320174,-4.56233560401839,-0.3549393668812184,60.60215146117789,-26.94900934396213,28.047678355416437,49.28601943643989,77.68159773370172,32.49998721473983
250000.0085709851,31.84209563850069,25.0,0.1,2.168045306079304,-4.563884201146914,-0.35266481138344674,60.61058692725734,-27.182604211638488,28.290796520928172,49.3028063139409,77.35761767170493,31.494410386285296
249999.93526137245,31.827540489917393,25.0,0.1,2.1680453118250407,-4.565274364854119,-0.3514543524245972,60.618158380285635,-27.31896567439358,28.432717227497143,49.312363314368575,77.41084666475726,30.724055526540752
249999.96212307742,31.919177260279096,25.0,0.1,2.1680458336628017,-4.567785653080136,-0.34941452685867813,60.63183358191943,-27.542970458849428,28.66585433707701,49.32850871473471,77.07560147371115,29.778191728215205
249999.86581210265,31.838125511998587,25.0,0.1,2.1680453947359557,-4.56933325836846,-0.3490159520416829,60.64025951931885,-27.609045781237125,28.73462344713619,49.33285069949998,77.37204635086238,29.200271370414384
249999.8726975438,31.828205311501247,25.0,0.1,2.1680457941806837,-4.571667868662553,-0.3480828699595524,60.6529680909123,-27.73227999893487,28.862881731374074,49.34150149250843,77.40835496819255,28.512981638379244
249999.9671194295,31.798301564673075,25.0,0.1,2.1680453985667265,-4.574053491186487,-0.3474149400547555,60.665951600070876,-27.83255100241783,28.967240627026595,49.34846304401279,77.51789013479754,27.89321539535416
250000.01971752374,31.834460627763377,25.0,0.1,2.1680453687121486,-4.577195877797888,-0.34624653894025337,60.683049481718875,-27.98612235865237,29.127072847547023,49.35942315477335,77.38552237234458,27.171090398544806
249999.94518445115,31.813630322092937,25.0,0.1,2.1680451389029143,-4.579997133572282,-0.34565299056515975,60.69828719317893,-28.084527301135562,29.229489605807935,49.36628166261796,77.46173321252323,26.586573946961664
249999.9434479632,31.851553768894938,25.0,0.1,2.1680458487855625,-4.583494549547735,-0.3446165326563404,60.71730637011168,-28.230116776724923,29.381014536878514,49.37668630523589,77.32290712389761,25.912071503326246
249999.9784917928,31.815481840842068,25.0,0.1,2.1680452594759307,-4.5863717293745125,-0.3442852779076442,60.732948196945934,-28.305886721301018,29.459873503727852,49.38189426560035,77.45495938314289,25.406484439501412
250000.06858171785,31.84179671628688,25.0,0.1,2.1680454399547346,-4.589971074826999,-0.3434719414093814,60.7525104165379,-28.432416590697215,29.591561798235524,49.39091387227342,77.35867159194532,24.80183289305495
250000.10937727315,31.891568850246305,25.0,0.1,2.1680452919081197,-4.593923836990336,-0.34251333297298525,60.773986179515674,-28.57548264569977,29.74046043280403,49.40119125252063,77.17658110408999,24.173520571567053
250000.16914506373,31.916900664236394,25.0,0.1,2.168054589787164,-4.597682022542635,-0.34181496197855976,60.79439775238213,-28.692995565728594,29.86276417100481,49.40957715242421,77.08397045082356,23.614331439277464
250000.12218008048,31.867201976336535,25.0,0.1,2.168045301346989,-4.60058367336528,-0.34179587321603866,60.810152600457414,-28.740630461377663,29.912341066934705,49.412739468102345,77.26571570850962,23.2218798933946
250000.1631666,31.878848408259266,25.0,0.1,2.1680456122796063,-4.604225285152811,-0.3412971506567093,60.82991937797634,-28.83864134419968,30.014347700337638,49.41969472746042,77.22312437456188,22.72930603647592
250000.25139025366,31.870552077969787,25.0,0.1,2.168045599538498,-4.607627562011717,-0.34100391272338393,60.848381236225116,-28.91554746823635,30.094389166909227,49.42508637666439,77.25351873619846,22.294528295686632
250000.2183891934,31.827512674149744,25.0,0.1,2.168045364883721,-4.610576677552642,-0.3410360865415931,60.8643795632719,-28.95845437620987,30.139045322492038,49.42794788551898,77.41100681844455,21.945687869013
250000.2559584089,31.85990380189731,25.0,0.1,2.16804533327424,-4.614461869622313,-0.3404639017734301,60.88544949022588,-29.064668993039753,30.249590143322568,49.43555824529266,77.29247280864499,21.466639299820514
