method,metric,time,area,storage_capacity,residence_time,runoff_fraction,melting_rate,NSE,KGE,RMSE,Bias,PBias,MeanAbsErr,MaxAbsDiff,MaxPeakDiff
Evolution,NSE,20231208_1748,128271.2954659385,5.043266434407997,11.980455486994995,0.02215074516279631,3.3653915337196993,0.06448159422938482,0.5381660990454282,220.74782637349614,-73.76909682857246,19.394197987380668,160.6603034281905,919.766545141851,-93.37003389742927
Evolution,NSE,20231208_1804,131012.95583591197,5.034027460587879,11.978929457275516,0.01234933617176203,4.088504452572628,0.0647798655702595,0.5495350992101888,220.7126330524672,-62.490215544563824,16.42893385778785,159.26316784481355,955.6775879649198,-48.779614647194194
Evolution,NSE,20231208_1821,130452.63485418439,5.0895692413368465,11.975418432593443,0.01906251784569272,2.9106396716117846,0.06369077687244085,0.5453519661276733,220.84110852312958,-66.88852771373446,17.58526815882217,159.91587263373472,943.026133646638,-64.4330760562616
Evolution,NSE,20231208_1837,127027.7421161654,5.020569437307763,11.94665371915661,0.010828453503387299,2.979517661596542,0.0662455763082006,0.5419827173236076,220.53961083324157,-71.0456242706906,18.678185886493722,160.3562320547429,926.1283423013055,-85.3676475762511
Evolution,NSE,20231208_1854,128405.90123655369,5.059412844160477,11.9731736592527,0.011392598926514216,2.3126842673193027,0.06561621861298883,0.54498379375644,220.61392101467283,-67.84038424328556,17.835515142767143,160.03487824546266,935.7681486081386,-73.23569533043064
Evolution,NSE,20231208_1910,127648.88310405095,5.014129733503253,11.942789533823058,0.016169227729756167,5.148917236673764,0.06551403636204234,0.5397553483893276,220.62598362278584,-72.56424429707785,19.07743731731711,160.5541933103318,923.7010801559401,-88.88862234220392
Evolution,NSE,20231208_1926,127673.36907666142,5.0051012323289115,11.965127738667494,0.013585540063571842,5.846449936807465,0.06696851716848484,0.5414996103761129,220.45422009016087,-71.15063536662902,18.705793734129905,160.3212913158138,925.5697194044413,-86.48257243346188
Evolution,NSE,20231208_1943,131498.9031168304,5.040722791088193,11.986257251143464,0.016156793846559915,3.23157367603208,0.06442842522843284,0.5490774217865934,220.75409924560606,-62.95943406776996,16.55229333119381,159.3170155477053,954.7619305104912,-49.84885523199614
Evolution,NSE,20231208_1959,129292.7667068884,5.035127742960157,11.996195588877939,0.015186840922615921,3.699838442785433,0.06668435831788211,0.5447042923006775,220.4877876867759,-67.99786154338547,17.876916570573076,159.82055784269568,936.1479059176944,-72.88845457812181
Evolution,NSE,20231208_2016,124530.90874220323,5.011148459323692,11.986130997159815,0.011829512167950668,3.545614150332251,0.0660876591859978,0.5338755641179717,220.55825894211546,-77.75939009894088,20.443262447164923,161.15191483812538,900.3827372191964,-117.11571697171121
Evolution,NSE,20231208_2032,131279.98474175483,5.0052389782369175,11.99448981967454,0.023669031725269303,5.988615101410555,0.06574868752037077,0.54426462209065,220.59828208689777,-67.63963101852111,17.78273629694863,159.85394164485197,940.2416181429024,-68.79320873020197
Evolution,NSE,20231208_2048,129199.70606234002,5.0128785161167,11.995102004128778,0.015108679503220285,4.360686194338273,0.06655077494525885,0.5441620708731228,220.50356608325725,-68.25621346995362,17.944838351233173,159.8937935990276,935.1527864311162,-74.23426909855539
Evolution,NSE,20231208_2105,125638.71100375248,5.062955498683856,11.999431787089717,0.013607064927124941,4.044071069919035,0.06562863928790097,0.5353711306025137,220.6124547098445,-76.2352759141811,20.042566579581003,161.00541182041644,906.4737427060494,-109.61135988050069
Evolution,NSE,20231208_2121,125958.54100493366,5.019672750675291,11.91465912965753,0.01285523741845166,2.755742259440849,0.06437197563568064,0.5380187200149189,220.76075896644969,-74.51670637930425,19.590747603242757,160.9262728820381,916.7028556018266,-97.22078918507373
Evolution,NSE,20231208_2137,129180.8808232944,5.029437344672118,11.948473885218911,0.015505937840036545,4.63631433523419,0.0650953182476568,0.5438596022856005,220.67540638219458,-68.58161217358371,18.030387004454507,160.07047062364921,937.5986038131015,-71.52696591714948
Evolution,NSE,20231208_2154,129083.75357670772,5.0832562591150605,11.946902681699171,0.010897648240239574,5.279828391230951,0.06486054934303775,0.5459317952511109,220.70311213253666,-66.63865748111034,17.519576250272355,159.9008416243381,942.8268424490221,-64.97550335738629
Evolution,NSE,20231208_2210,129773.98857882674,5.008107454109471,11.971623562681057,0.010275919250515964,3.299788980265291,0.0662811171992953,0.5486094937728796,220.53541366497222,-64.14752829322413,16.864648173895326,159.38345904625493,948.6367339068812,-57.39060348078647
Evolution,NSE,20231208_2227,127091.27751759918,5.020801989531094,11.965777642519367,0.010277563844957593,5.837144353968229,0.0672792819181639,0.5419157000768395,220.41750369455224,-70.9456149882651,18.65189303613604,160.31024544234285,925.017438363141,-86.97909752662622
Evolution,NSE,20231208_2243,128224.14717794102,5.108726644411945,11.998159176427123,0.012060334355913423,4.738810425500568,0.06613785734261846,0.543046138678165,220.55233131576205,-69.3931021784313,18.24373105359431,160.19352504971587,930.4370641008157,-79.99620185172853
Evolution,NSE,20231208_2300,130971.55108166012,5.057333221268671,11.991813033794536,0.013558234973458351,4.984828427142428,0.06538692109408606,0.5487235002872365,220.64098865146784,-63.319419161746566,16.646934888231062,159.3724300904193,952.3313643026821,-53.03242273794399
