datetime,valid,discharge(L/min),temperature(C),precipitation(mm)
2020-07-04 17:00:00+00:00,False,,19.25,0.0
2020-07-04 18:00:00+00:00,False,,17.866666666666667,0.0
2020-07-04 19:00:00+00:00,False,,17.983333333333334,0.0
2020-07-04 20:00:00+00:00,False,,17.583333333333332,0.0
2020-07-04 21:00:00+00:00,False,,16.266666666666666,0.0
2020-07-04 22:00:00+00:00,False,,16.183333333333334,0.0
2020-07-04 23:00:00+00:00,False,,15.9,0.0
2020-07-05 00:00:00+00:00,False,,15.533333333333333,0.0
2020-07-05 01:00:00+00:00,False,,15.516666666666667,0.0
2020-07-05 02:00:00+00:00,False,,16.566666666666666,0.0
2020-07-05 03:00:00+00:00,False,,15.1,0.0
2020-07-05 04:00:00+00:00,False,,16.233333333333334,0.0
2020-07-05 05:00:00+00:00,False,,16.683333333333334,0.0
2020-07-05 06:00:00+00:00,False,,18.25,0.0
2020-07-05 07:00:00+00:00,False,,19.916666666666668,0.0
2020-07-05 08:00:00+00:00,False,,21.216666666666665,0.0
2020-07-05 09:00:00+00:00,False,,21.833333333333332,0.0
2020-07-05 10:00:00+00:00,False,,22.916666666666668,0.0
2020-07-05 11:00:00+00:00,False,,24.3,0.0
2020-07-05 12:00:00+00:00,False,,25.22,0.0
2020-07-05 13:00:00+00:00,False,,25.45,1.6
2020-07-05 14:00:00+00:00,False,,25.900000000000002,1.5
2020-07-05 15:00:00+00:00,False,,26.133333333333336,0.5
2020-07-05 16:00:00+00:00,False,,25.5,0.0
2020-07-05 17:00:00+00:00,False,,23.016666666666666,0.0
2020-07-05 18:00:00+00:00,False,,22.0,0.0
2020-07-05 19:00:00+00:00,False,,20.716666666666665,0.0
2020-07-05 20:00:00+00:00,False,,19.55,0.0
2020-07-05 21:00:00+00:00,False,,19.933333333333334,0.0
2020-07-05 22:00:00+00:00,False,,19.45,0.0
2020-07-05 23:00:00+00:00,False,,21.21666666666667,0.0
2020-07-06 00:00:00+00:00,False,,21.183333333333334,0.0
2020-07-06 01:00:00+00:00,False,,20.216666666666665,0.0
2020-07-06 02:00:00+00:00,False,,18.2,0.0
2020-07-06 03:00:00+00:00,False,,17.45,0.0
2020-07-06 04:00:00+00:00,False,,17.53333333333333,0.0
2020-07-06 05:00:00+00:00,False,,19.65,0.0
2020-07-06 06:00:00+00:00,False,,20.533333333333335,0.0
2020-07-06 07:00:00+00:00,False,,20.883333333333333,0.0
2020-07-06 08:00:00+00:00,False,,22.03333333333333,0.0
2020-07-06 09:00:00+00:00,False,,23.183333333333334,0.0
2020-07-06 10:00:00+00:00,False,,20.95,0.0
2020-07-06 11:00:00+00:00,False,,18.25,0.0
2020-07-06 12:00:00+00:00,False,,17.666666666666668,0.0
2020-07-06 13:00:00+00:00,False,,16.924999999999997,0.0
2020-07-06 14:00:00+00:00,False,,17.833333333333332,0.0
2020-07-06 15:00:00+00:00,False,,18.099999999999998,0.0
2020-07-06 16:00:00+00:00,False,,18.166666666666668,0.0
2020-07-06 17:00:00+00:00,False,,18.016666666666666,0.0
2020-07-06 18:00:00+00:00,False,,17.3,0.0
2020-07-06 19:00:00+00:00,False,,16.616666666666667,0.0
2020-07-06 20:00:00+00:00,False,,15.616666666666667,0.0
2020-07-06 21:00:00+00:00,False,,15.016666666666666,0.0
2020-07-06 22:00:00+00:00,False,,14.15,0.0
2020-07-06 23:00:00+00:00,False,,13.066666666666668,0.0
2020-07-07 00:00:00+00:00,False,,12.450000000000001,0.0
2020-07-07 01:00:00+00:00,False,,12.716666666666667,0.0
2020-07-07 02:00:00+00:00,False,,11.933333333333332,0.0
2020-07-07 03:00:00+00:00,False,,11.666666666666666,0.0
2020-07-07 04:00:00+00:00,False,,11.299999999999999,0.0
2020-07-07 05:00:00+00:00,False,,12.450000000000001,0.0
2020-07-07 06:00:00+00:00,False,,13.816666666666668,0.0
2020-07-07 07:00:00+00:00,False,,14.700000000000001,0.0
2020-07-07 08:00:00+00:00,False,,15.816666666666668,0.0
2020-07-07 09:00:00+00:00,False,,17.216666666666665,0.0
2020-07-07 10:00:00+00:00,False,,18.066666666666666,0.0
2020-07-07 11:00:00+00:00,False,,18.833333333333332,0.0
2020-07-07 12:00:00+00:00,False,,19.883333333333333,2.5
2020-07-07 13:00:00+00:00,False,,20.599999999999998,0.3
2020-07-07 14:00:00+00:00,False,,20.816666666666666,3.1
2020-07-07 15:00:00+00:00,False,,20.666666666666668,2.6
2020-07-07 16:00:00+00:00,False,,20.5,0.0
2020-07-07 17:00:00+00:00,False,,18.533333333333335,0.0
2020-07-07 18:00:00+00:00,False,,16.433333333333334,0.0
2020-07-07 19:00:00+00:00,False,,15.799999999999999,0.0
2020-07-07 20:00:00+00:00,False,,15.633333333333333,0.0
2020-07-07 21:00:00+00:00,False,,15.133333333333333,0.0
2020-07-07 22:00:00+00:00,False,,15.049999999999999,0.0
2020-07-07 23:00:00+00:00,False,,14.333333333333334,0.0
2020-07-08 00:00:00+00:00,False,,13.950000000000001,0.0
2020-07-08 01:00:00+00:00,False,,13.4,0.0
2020-07-08 02:00:00+00:00,False,,12.75,0.0
2020-07-08 03:00:00+00:00,False,,13.233333333333334,0.0
2020-07-08 04:00:00+00:00,False,,13.166666666666666,0.0
2020-07-08 05:00:00+00:00,False,,15.166666666666666,0.0
2020-07-08 06:00:00+00:00,False,,16.483333333333334,0.0
2020-07-08 07:00:00+00:00,False,,17.866666666666667,0.0
2020-07-08 08:00:00+00:00,False,,19.233333333333334,0.0
2020-07-08 09:00:00+00:00,False,,19.983333333333334,0.0
2020-07-08 10:00:00+00:00,False,,21.166666666666668,0.0
2020-07-08 11:00:00+00:00,False,,21.75,0.3
2020-07-08 12:00:00+00:00,False,,22.566666666666666,0.0
2020-07-08 13:00:00+00:00,False,,22.96666666666667,0.0
2020-07-08 14:00:00+00:00,False,,23.666666666666668,0.0
2020-07-08 15:00:00+00:00,False,,24.03333333333333,2.8
2020-07-08 16:00:00+00:00,False,,23.833333333333332,0.0
2020-07-08 17:00:00+00:00,False,,22.5,0.0
2020-07-08 18:00:00+00:00,False,,21.366666666666664,0.0
2020-07-08 19:00:00+00:00,False,,19.883333333333333,0.0
2020-07-08 20:00:00+00:00,False,,18.816666666666666,0.0
2020-07-08 21:00:00+00:00,False,,18.966666666666665,0.0
2020-07-08 22:00:00+00:00,False,,19.5,0.0
2020-07-08 23:00:00+00:00,False,,18.133333333333333,0.0
2020-07-09 00:00:00+00:00,False,,16.45,0.0
2020-07-09 01:00:00+00:00,False,,17.566666666666666,0.0
2020-07-09 02:00:00+00:00,False,,16.099999999999998,0.0
2020-07-09 03:00:00+00:00,False,,15.299999999999999,0.0
2020-07-09 04:00:00+00:00,False,,16.25,0.0
2020-07-09 05:00:00+00:00,False,,17.566666666666666,0.0
2020-07-09 06:00:00+00:00,False,,19.616666666666667,0.0
2020-07-09 07:00:00+00:00,False,,21.3,0.3
2020-07-09 08:00:00+00:00,False,,22.333333333333332,0.0
2020-07-09 09:00:00+00:00,False,,24.05,0.0
2020-07-09 10:00:00+00:00,False,,24.53333333333333,0.0
2020-07-09 11:00:00+00:00,False,,24.849999999999998,0.0
2020-07-09 12:00:00+00:00,False,,26.233333333333334,0.0
2020-07-09 13:00:00+00:00,False,,27.53333333333333,0.0
2020-07-09 14:00:00+00:00,False,,27.983333333333334,0.0
2020-07-09 15:00:00+00:00,False,,27.883333333333336,0.0
