area,storage_capacity,residence_time,runoff_fraction,RMSE
272621.3,10.5,13.0,0.065,826.829927288917
272621.3,10.5,13.0,0.065,826.4917674061866
272621.3,10.5,13.0,0.065,826.3728033162103
272621.3,10.5,13.0,0.065,487.08587428504353
