area,storage_capacity,residence_time,runoff_fraction,melting_rate,NSE,KGE,RMSE,Bias,PBias,MeanAbsErr,MaxAbsDiff,MaxPeakDiff
163638.27,8.0,26.98,0.099,0.5,-4.608664043774492,-0.42730450709462664,60.85400440954794,-26.426206570154214,27.503561729238154,51.05601076897822,111.96486605089467,10.39287366306118
163638.27,8.0,26.98,0.099,1.0,-4.593077840299391,-0.4256323089517564,60.7693904309169,-26.39704177974753,27.473207935887576,50.992714119837686,111.96614645242045,10.39425452983616
163638.27,8.0,26.98,0.099,1.5,-4.5864385683585125,-0.42533442592566995,60.733311520101594,-26.32950078342755,27.402913398659553,50.91064728267075,111.96608116835478,10.39418412333049
163638.27,8.0,26.98,0.099,2.0,-4.578443191475235,-0.42455367075018535,60.689834841939344,-26.261442988474315,27.33208099372535,50.825423549554756,111.96606418617785,10.3941658086664
163638.27,8.0,26.98,0.099,2.5,-4.579482693172885,-0.4246409636673727,60.69548912983822,-26.272318255586917,27.343399628488882,50.83080283998855,111.96604659531312,10.394146837554445
163638.27,8.0,26.98,0.099,3.0,-4.581380329559273,-0.4248285835920942,60.7058098157668,-26.28645785185422,27.358115674007266,50.84054486682739,111.96597537484314,10.39407002885136
163638.27,8.0,26.98,0.099,3.5,-4.584352262751196,-0.42511893194164885,60.72196976102582,-26.30846169999714,27.381016584664753,50.85322516945993,111.96583752963534,10.39392136777613
163638.27,8.0,26.98,0.099,4.0,-4.587133502707878,-0.42538849324906436,60.73708891345608,-26.32927338489537,27.40267672944446,50.86426897399218,111.9657051117834,10.393778559908071
163638.27,8.0,26.98,0.099,4.5,-4.589777234946395,-0.42564499447499893,60.751457069275524,-26.348953908820317,27.423159597585094,50.87469594459728,111.96557966638406,10.393643271578128
163638.27,8.0,26.98,0.099,5.0,-4.591302283410024,-0.4257949462462811,60.75974385727504,-26.36007075943105,27.434729664828584,50.88072109584567,111.96551064097966,10.393568830173905
163638.27,8.0,26.98,0.099,5.5,-4.592734825894155,-0.4259358722236648,60.76752695819988,-26.37048370900106,27.44556713408556,50.886375960204674,111.9654461382012,10.393499266258317
163638.27,8.0,26.98,0.099,6.0,-4.594187250974616,-0.42607866028657937,60.775417065048906,-26.38103685564305,27.45655051603009,50.89275584830257,111.96538114481288,10.393429173237735
163638.27,9.0,26.98,0.099,0.5,-4.511181680889154,-0.39229488135586044,60.32284449892106,-28.444170331711053,29.603794720908887,50.5440251651921,106.51007590704168,4.510079615544413
163638.27,9.0,26.98,0.099,1.0,-4.49507897745169,-0.3906236753998944,60.23465366194399,-28.411643519273955,29.56994184114184,50.477431045223284,106.51135683416322,4.511461049155457
163638.27,9.0,26.98,0.099,1.5,-4.4873326260728685,-0.39027244430923114,60.192182630122254,-28.336019580567072,29.49123483259291,50.38826437708234,106.51129456752972,4.511393896841355
163638.27,9.0,26.98,0.099,2.0,-4.480400992268148,-0.38958479007041236,60.15415304074038,-28.277345476356476,29.430168676813803,50.311309026933,106.51126976640143,4.511367149720741
163638.27,9.0,26.98,0.099,2.5,-4.48150649495253,-0.38967817101783164,60.160219861807185,-28.288667580004272,29.441952364940036,50.31679662348449,106.51124963762584,4.511345441563719
163638.27,9.0,26.98,0.099,3.0,-4.483522531880143,-0.3898770062446877,60.17128197357688,-28.3034957036037,29.457385007974256,50.32695995239948,106.51117373391247,4.511263582151827
163638.27,9.0,26.98,0.099,3.5,-4.486604355884726,-0.3901770486626637,60.188188191501574,-28.32605826210339,29.480867406736948,50.34002441156165,106.5110324549097,4.511111217852772
163638.27,9.0,26.98,0.099,4.0,-4.489477821028881,-0.39045435855566923,60.203947120999466,-28.3473592609103,29.50303681398898,50.3514818090467,106.51089748202875,4.510965654478298
163638.27,9.0,26.98,0.099,4.5,-4.492204676458048,-0.39071777334576785,60.21889818585941,-28.367471598369463,29.52396910002705,50.36350307032803,106.51076984855271,4.510828006386703
163638.27,9.0,26.98,0.099,5.0,-4.49376364411208,-0.39087043334106664,60.2274441759467,-28.378749064068483,29.535706330385068,50.37038374703857,106.51070049097285,4.510753206743203
163638.27,9.0,26.98,0.099,5.5,-4.495222014045589,-0.39101331883471446,60.23543760915054,-28.38926730180066,29.54665338023808,50.37680849953554,106.51063591788778,4.510683567004548
163638.27,9.0,26.98,0.099,6.0,-4.496698931238909,-0.39115793175047386,60.243531620323715,-28.399911357293526,29.55773137724534,50.38332901125103,106.51057087064135,4.510613415899883
163638.27,10.0,26.98,0.099,0.5,-4.4479046982127395,-0.3618615738271054,59.97554444785818,-30.331345328877845,31.567906894582453,50.167473339046424,101.19482728185483,-1.222223946776353
163638.27,10.0,26.98,0.099,1.0,-4.431479321922613,-0.36020440886040017,59.885063373558076,-30.296678704313106,31.5318269658901,50.09884435463868,101.19610897305728,-1.2208416891317029
163638.27,10.0,26.98,0.099,1.5,-4.4230027984415985,-0.35983101987344024,59.83831594795478,-30.215386354317282,31.44722045377911,50.004740969816375,101.19604818300976,-1.2209072490011295
163638.27,10.0,26.98,0.099,2.0,-4.416711276829144,-0.3591945256719127,59.80359502603672,-30.16339651636316,31.393111071349665,49.93357608171253,101.19601724876281,-1.2209406104686025
163638.27,10.0,26.98,0.099,2.5,-4.417835405805657,-0.3592905469258971,59.8098002179969,-30.17489041993367,31.405073563413076,49.93896789044797,101.19599517659773,-1.2209644145010259
163638.27,10.0,26.98,0.099,3.0,-4.419930948233989,-0.359497695837411,59.82136589391628,-30.190175329840702,31.42098161521906,49.94937321261444,101.19591549438599,-1.2210503488868198
