method,metric,time,area,storage_capacity,residence_time,runoff_fraction,melting_rate,NSE,KGE,RMSE,Bias,PBias,MeanAbsErr,MaxAbsDiff,MaxPeakDiff
Evolution,NSE,20231208_2307,187213.71724955307,13.920024968788766,26.940669487435567,0.0898456579993753,2.445364870072339,-4.091813278312593,-0.3533120390952582,57.98233260861282,-22.426230121271995,23.340512489262085,47.674297255287065,106.36622049266055,11.491814298694237
Evolution,NSE,20231208_2314,184563.40562505458,16.615374670798708,26.92935540824025,0.04996695795899382,2.4420424957156186,-4.118385557060168,-0.3536902936892634,58.13342984389668,-22.622582154295372,23.544869487932466,47.78959568441065,103.51080943766706,12.815182864797947
Evolution,NSE,20231208_2322,188184.96020245174,14.287474616833698,26.88309691776906,0.09410285528185451,2.397200931685297,-4.089725918549324,-0.3436674961238748,57.970446627344195,-23.45089565248299,24.406952033457323,47.66935274372735,104.63251408698713,9.352055764076823
Evolution,NSE,20231208_2329,192128.1065331013,14.236156147723825,26.942655889233343,0.09762517844166972,1.8770707267931632,-4.097120512816077,-0.3523759727114373,58.0125424449651,-22.46690592669303,23.38284658372677,47.62320540808498,107.01799676486436,11.323826340690715
Evolution,NSE,20231208_2337,181820.31381526552,13.358951637105768,26.98239759644604,0.09912743968148326,1.8522554591788427,-4.064374135544596,-0.32670398231456566,57.82589180692881,-25.471095754140247,26.509512537320784,47.71088727978793,101.03977837822251,1.750822440984308
Evolution,NSE,20231208_2344,183016.09474318006,14.069191540452735,26.93554256002439,0.09661722915250809,3.6158485802652143,-4.081475606597751,-0.32379684318446755,57.92344328658917,-25.928431858858097,26.985493520581652,47.73765845220593,100.1391039413885,1.7085623043069518
Evolution,NSE,20231208_2350,194276.44601595157,15.39791037855099,26.980313790733053,0.0989774440579831,3.0882479971490846,-4.098945412102119,-0.33773508314898715,58.0229265013105,-24.08586852702542,25.067811760145954,47.60158523797995,103.55397446195425,8.450317366482949
Evolution,NSE,20231208_2356,191033.73887026295,14.047113417060558,26.93685239538625,0.09850599492705761,4.970746291120639,-4.114680012408635,-0.34923432312558056,58.11238267772496,-23.39493200084096,24.348706831163767,47.75810134775802,106.59617353729948,7.556294707096242
Evolution,NSE,20231209_0002,189252.2182482668,14.372094250780634,26.992511626691602,0.09326250243187478,2.700766087524217,-4.098854062642487,-0.3430512092725646,58.02240674807787,-23.90241420645353,24.876878293515034,47.717065177947724,105.13502836190807,5.639437837247499
Evolution,NSE,20231209_0010,191428.5358453036,14.853448730315193,26.99492357125157,0.09716811114133826,2.4641229551288912,-4.098308624567067,-0.33693517918133,58.01930325895244,-24.438553284097722,25.434874923803157,47.66293137174692,103.86902075131692,5.197962277926393
Evolution,NSE,20231209_0018,183402.7508496288,14.23978539865081,26.94667087187834,0.09470622942545523,2.2696891432130646,-4.096085931152215,-0.32313408090169204,58.00665463454336,-26.332805727178137,27.406353079803903,47.79514345549249,100.3232625280647,-0.974665226157299
Evolution,NSE,20231209_0025,186764.06962039036,15.005413579463784,26.990411612880067,0.09752318538835186,2.8056664273936613,-4.099311118957855,-0.31833466128776355,58.02500722583642,-26.68093270279305,27.768672648373812,47.71518854643208,99.21589277706315,-0.6526208751600393
Evolution,NSE,20231209_0032,186029.58879393584,15.366114061495793,26.986074597256216,0.09502753223580798,3.992779072977599,-4.115305457076071,-0.31476293749257667,58.11593568286893,-27.328186259546726,28.442313721502682,47.777737413107715,97.85298148538695,-1.9054540356584084
Evolution,NSE,20231209_0039,186424.8553401464,13.486109991774867,26.987326958402335,0.08901032179660445,2.9660577539916937,-4.129867259310179,-0.35345822921043735,58.19859656706715,-23.64123352140185,24.605049679947903,47.90715382673373,107.58383388008193,5.664349878062524
Evolution,NSE,20231209_0046,183831.05226532574,13.92701119052969,26.992547659757804,0.0987600403094489,2.172977930456664,-4.105014724475635,-0.32279872091079076,58.05744879025335,-26.647698143131166,27.734083167633234,47.83956441743179,100.61490333286247,-1.8537837149200413
Evolution,NSE,20231209_0054,183712.68785162162,13.182241817383868,26.983904088761992,0.09897174895704484,1.9283424835028051,-4.113442193002463,-0.33471921356279677,58.10535027417976,-25.65666562494516,26.70264780186285,47.913803854049604,103.51728284338796,1.280516791769287
Evolution,NSE,20231209_0101,182519.95653305034,13.929086917415304,26.97905332429845,0.09750134768150505,2.680193265297039,-4.116139423578045,-0.3204650761886221,58.120672913981664,-27.15928829065118,28.26653004626614,47.923797819983996,99.87601824264155,-2.644051051212301
Evolution,NSE,20231209_0109,183707.67285532007,14.224310164883114,26.965179355115264,0.09255981472800062,1.8705042403322845,-4.123478186098313,-0.3263848382122556,58.16234310039811,-26.567307792220255,27.65041542770077,47.91665695648686,101.2128222778089,-1.195538251028097
Evolution,NSE,20231209_0117,184496.1996021453,14.263674359574068,26.99078031723758,0.09898914701193126,3.044201966295622,-4.125391018822008,-0.31975298774084027,58.1731994412388,-27.286216801487257,28.398633234202435,47.907247646597526,99.81051793204415,-2.720394193870902
Evolution,NSE,20231209_0124,187686.45918892563,14.11487232571639,26.989103409897908,0.09568752883663695,1.9933429927345228,-4.130795798273443,-0.33646828785692673,58.203863488863355,-25.487056658328523,26.526124142638853,47.86261349063748,104.11634691628859,1.9239814033786615
